Evaluacion,Generacion,Mejor coste,Peor coste,Tiempo
0,0,7233.99,49306.2,0.06
50,1,7339.51,47827.1,3.536
100,2,7339.51,39695.9,7.298
150,3,7339.51,40416,10.453
200,4,7339.51,37896.6,13.816
250,5,7339.51,33491.5,16.815
300,6,7339.51,8944.72,19.755
350,7,7339.51,9038.7,22.853
400,8,7339.51,9356.05,26.178
450,9,7339.51,8645.7,29.415
500,10,7339.51,8547.52,32.494
550,11,7339.51,9121.57,36.156
600,12,7339.51,9593.89,39.09
650,13,7339.51,8839.35,42.421
700,14,7339.51,9123.14,45.576
750,15,7339.51,9643.17,48.654
800,16,7339.51,9297.62,51.571
850,17,7339.51,9497.08,54.74
900,18,7339.51,9452.66,57.833
950,19,7339.51,9747.7,60.997
1000,20,7339.51,9008.24,64.07
1050,21,7339.51,9816.71,67.109
1100,22,7339.51,9492.72,70.353
1150,23,7339.51,9104.78,73.305
1200,24,7339.51,8751.88,76.3
1250,25,7339.51,9473.16,79.274
1300,26,7339.51,9168.63,82.284
1350,27,7339.51,8395.9,85.363
1400,28,7339.51,8782.69,88.529
1450,29,7339.51,9361.08,91.615
1500,30,7339.51,8892.6,94.901
1550,31,7339.51,8689.67,98.026
1600,32,7339.51,8754.04,100.8
1650,33,7339.51,8979.88,104.22
1700,34,7335.86,9534.61,107.309
1750,35,7335.86,9653.72,110.218
1800,36,7333.75,9800.13,113.343
1850,37,7333.75,8959.8,116.372
1900,38,7333.75,9006.81,119.385
1950,39,7333.75,8922.06,122.627
2000,40,7333.75,8745.66,125.768
2050,41,7333.75,9359.6,129.052
2100,42,7333.75,9105.1,132.063
2150,43,7333.75,9226.4,135.107
2200,44,7333.75,9433.75,137.976
2250,45,7333.75,9307.23,141.247
2300,46,7333.75,8394.87,144.462
2350,47,7333.75,9643.57,147.342
2400,48,7333.75,8621.37,150.312
2450,49,7333.75,9176.77,153.495
2500,50,7333.75,9656.41,156.519
2550,51,7333.75,8820.74,159.727
2600,52,7333.75,9229.24,162.637
2650,53,7333.75,8974.49,165.82
2700,54,7333.75,8704.58,168.869
2750,55,7333.75,9473.24,172.196
2800,56,7333.75,8284.63,175.235
2850,57,7333.75,7333.75,178.244
2900,58,7333.75,8983.82,181.338
2950,59,7333.75,8671.65,184.277
3000,60,7333.75,8537.07,187.299
3050,61,7333.75,9340.12,190.473
3100,62,7333.75,10117.3,193.388
3150,63,7333.75,9912.13,196.516
3200,64,7333.75,9198.31,199.686
3250,65,7333.75,9122.5,202.472
3300,66,7333.75,9655.66,205.588
3350,67,7333.75,9563.68,208.538
3400,68,7333.75,9269.19,211.714
3450,69,7333.75,7664.88,214.693
3500,70,7333.75,9751.65,217.988
