Evaluacion,Generacion,Mejor coste,Peor coste,Tiempo
0,0,7233.99,52124.1,0.101
100,1,7233.99,49214.4,5.667
200,2,7233.99,44413.1,11.877
300,3,7267.14,40446.8,18.149
400,4,7267.14,38276.8,24.57
500,5,7267.14,38017.4,31.213
600,6,7267.14,36050.1,37.464
700,7,7267.14,35655.9,43.523
800,8,7267.14,13242.2,49.548
900,9,7267.14,9823.49,55.387
1000,10,7267.14,9276.86,61.902
1100,11,7267.14,9519.32,68.59
1200,12,7267.14,9355.38,74.791
1300,13,7267.14,10136.1,80.866
1400,14,7267.14,10001.3,87.13
1500,15,7267.14,10463.8,93.485
1600,16,7267.14,9648.87,99.7
1700,17,7267.14,9477.19,105.778
1800,18,7267.14,9370.53,112.115
1900,19,7267.14,9483.77,118.185
2000,20,7267.14,9562.02,124.295
2100,21,7267.14,9483.36,130.717
2200,22,7267.14,9255.83,137.091
2300,23,7267.14,9679.15,142.812
2400,24,7267.14,9688.72,148.938
2500,25,7267.14,9766.32,155.277
2600,26,7267.14,9406.24,161.843
2700,27,7267.14,10716.8,168.025
2800,28,7267.14,9876.65,174.118
2900,29,7267.14,8870.59,180.352
3000,30,7267.14,8876.5,186.859
3100,31,7267.14,10209.2,193.304
3200,32,7267.14,9700.42,199.608
3300,33,7267.14,9060.87,205.687
3400,34,7267.14,9654.98,211.83
3500,35,7267.14,10334.1,218.294
3600,36,7267.14,9045.12,224.637
3700,37,7267.14,9343.93,230.804
3800,38,7267.14,8733.96,237.246
3900,39,7267.14,9704.42,243.281
4000,40,7267.14,9342.4,250.312
4100,41,7267.14,9375.45,256.698
4200,42,7267.14,9679.55,263.299
4300,43,7267.14,9839.78,270.01
4400,44,7267.14,9255.92,276.669
4500,45,7267.14,9245.26,283.249
4600,46,7267.14,9335.49,289.364
4700,47,7267.14,9687.97,295.701
4800,48,7267.14,8839.56,301.972
4900,49,7267.14,9773.1,308.414
5000,50,7267.14,9495.95,314.889
5100,51,7267.14,8948.62,321.05
5200,52,7267.14,8900.37,327.485
5300,53,7267.14,9364.65,333.271
5400,54,7267.14,9469.93,339.115
5500,55,7267.14,9689.97,345.206
5600,56,7267.14,8831,350.921
5700,57,7267.14,10225.4,357.186
5800,58,7267.14,9821.01,363.505
5900,59,7267.14,9483.77,370.047
6000,60,7267.14,9571.05,376.163
6100,61,7267.14,9081.01,382.358
6200,62,7267.14,8485.17,388.533
6300,63,7267.14,9842.12,395.04
6400,64,7267.14,9166.55,401.397
6500,65,7267.14,9679.55,407.297
6600,66,7267.14,8884.18,413.362
6700,67,7267.14,8822.94,419.679
6800,68,7267.14,8765.83,426.185
6900,69,7267.14,8752.1,432.33
7000,70,7267.14,9773.1,438.818
7100,71,7267.14,9095.44,445.191
7200,72,7267.14,9752.03,451.049
7300,73,7267.14,9415.63,457.287
7400,74,7267.14,9446.34,463.373
7500,75,7267.14,9057.71,469.972
7600,76,7267.14,9965.55,476.495
7700,77,7267.14,9272.69,482.856
7800,78,7267.14,9669.16,489.272
7900,79,7262.72,9746.97,495.73
8000,80,7262.72,9579.76,502.365
8100,81,7235.07,8912.41,508.505
8200,82,7235.07,9175.22,514.808
8300,83,7235.07,9258.57,521.171
8400,84,7235.07,9845.52,527.443
8500,85,7235.07,9631.89,533.671
8600,86,7235.07,9451.5,539.704
8700,87,7235.07,9669.63,545.824
8800,88,7235.07,10132,551.968
8900,89,7235.07,9771.29,558.168
9000,90,7235.07,9009.12,564.146
9100,91,7235.07,9246.05,570.267
9200,92,7235.07,9111.35,576.26
9300,93,7235.07,9260.91,582.269
9400,94,7235.07,9349.86,588.663
9500,95,7235.07,8793.41,595.062
9600,96,7235.07,9456.38,601.294
9700,97,7235.07,9535.36,607.494
9800,98,7235.07,9102.73,613.761
9900,99,7235.07,9786.22,619.893
10000,100,7235.07,9358.33,625.768
10100,101,7235.07,9611.9,632.132
10200,102,7235.07,9435.33,638.283
10300,103,7235.07,9287.54,644.81
10400,104,7235.07,9305.9,650.99
10500,105,7235.07,9454.77,657.328
10600,106,7235.07,9374.55,663.589
10700,107,7235.07,8913.45,669.761
10800,108,7235.07,8733.86,675.717
10900,109,7235.07,9731.9,681.727
11000,110,7235.07,9326.51,688.335
11100,111,7235.07,8779.3,694.615
11200,112,7235.07,9157.51,700.653
11300,113,7235.07,9729.62,706.961
11400,114,7235.07,9619.14,713.206
11500,115,7235.07,9041.54,719.549
11600,116,7235.07,9489.45,727.384
11700,117,7235.07,9358.79,733.478
11800,118,7235.07,9472.82,739.481
11900,119,7235.07,9940.19,745.631
12000,120,7235.07,9695.68,751.901
12100,121,7235.07,9030.67,758.552
12200,122,7235.07,9810.04,765.151
12300,123,7235.07,9282.15,771.819
12400,124,7200.73,9556.97,777.984
12500,125,7200.73,9549.22,784.167
12600,126,7200.73,9808.33,790.711
12700,127,7200.73,9008.31,796.997
12800,128,7200.73,9408.3,803.152
12900,129,7200.73,8943.14,809.181
13000,130,7200.73,9636.36,815.376
13100,131,7200.73,9220.11,821.837
13200,132,7200.73,9529.48,828.288
13300,133,7200.73,9321.57,834.517
13400,134,7200.73,9737.41,840.442
13500,135,7200.73,9326.56,846.518
13600,136,7200.73,9503.51,853.184
13700,137,7200.73,9084.12,859.398
13800,138,7200.73,9300.73,865.509
13900,139,7200.73,8587.4,871.732
14000,140,7200.73,10222.9,877.868
14100,141,7200.73,9517.11,884.119
14200,142,7200.73,9036.52,890.358
14300,143,7200.73,9130.96,896.324
14400,144,7200.73,9485.46,902.666
14500,145,7200.73,10036.7,908.836
14600,146,7200.73,9220.35,915.342
14700,147,7200.73,9031.03,921.509
14800,148,7200.73,9732.56,927.734
14900,149,7200.73,8563.93,934.138
15000,150,7200.73,9529.45,940.746
15100,151,7200.73,9567.34,946.729
15200,152,7200.73,9640.49,953.572
15300,153,7200.73,8999.99,959.658
15400,154,7200.73,8873.95,965.759
15500,155,7200.73,9277.87,971.957
15600,156,7200.73,9379.76,978.378
15700,157,7200.73,9237.3,984.904
15800,158,7200.73,9133.47,991.1
15900,159,7200.73,9545.04,997.467
16000,160,7200.73,10534.2,1003.81
16100,161,7200.73,8955.63,1009.62
16200,162,7179.54,9471.42,1016.22
16300,163,7179.54,8976.92,1022.36
16400,164,7179.54,9536.6,1028.46
16500,165,7179.54,8434.74,1034.53
16600,166,7179.54,10263.7,1040.71
16700,167,7179.54,12199.3,1046.77
16800,168,7179.54,8895.12,1053.05
16900,169,7179.54,9837.44,1059.02
17000,170,7179.54,9773.45,1064.97
17100,171,7179.54,9213.86,1071.03
17200,172,7179.54,9942.96,1077.49
17300,173,7179.54,9380.01,1083.82
17400,174,7179.54,9482.32,1090.38
17500,175,7179.54,9508.79,1096.5
17600,176,7179.54,9229.45,1102.79
17700,177,7179.54,9352.77,1108.8
17800,178,7179.54,9727.6,1115.12
17900,179,7179.54,9688.05,1121.33
18000,180,7179.54,9734.9,1127.47
18100,181,7179.54,9044.99,1133.68
18200,182,7179.54,8677.01,1140.11
18300,183,7179.54,9316.46,1146.3
18400,184,7179.54,9314.4,1153.09
18500,185,7179.54,11163.9,1159.08
18600,186,7179.54,9550.72,1165.16
18700,187,7179.54,8948.42,1171.35
18800,188,7179.54,9515.42,1177.67
18900,189,7179.54,9128.8,1183.69
19000,190,7179.54,8920.4,1190.44
19100,191,7179.54,9123.33,1196.31
19200,192,7179.54,9384.11,1202.63
19300,193,7179.54,9279.54,1208.75
19400,194,7179.54,9674.09,1215.03
19500,195,7179.54,10201.7,1221.22
19600,196,7179.54,9769.05,1227.64
19700,197,7179.54,9482.32,1233.7
19800,198,7179.54,9209.03,1239.9
19900,199,7179.54,9764.73,1246.28
20000,200,7179.54,9102.42,1252.83
20100,201,7179.54,9890.73,1259.12
20200,202,7179.54,9355.14,1265.25
20300,203,7179.54,10323.5,1271.44
20400,204,7179.54,9287.95,1277.59
20500,205,7179.54,9624.71,1284.07
20600,206,7179.54,9432.28,1290.21
20700,207,7179.54,9943.69,1296.59
20800,208,7179.54,9534.02,1302.82
20900,209,7179.54,9193.1,1309.19
21000,210,7163.09,9376.09,1315.54
21100,211,7163.09,9279.44,1321.98
21200,212,7163.09,9553.74,1328.32
21300,213,7163.09,9313.4,1334.53
21400,214,7163.09,9332.47,1340.62
21500,215,7163.09,9359.78,1346.72
21600,216,7163.09,9558.96,1353.05
21700,217,7163.09,9962.5,1358.79
21800,218,7163.09,9329.41,1365.08
21900,219,7163.09,9336.33,1371.33
22000,220,7163.09,8912.25,1377.74
22100,221,7163.09,9226.88,1383.79
22200,222,7163.09,10197.2,1390.18
22300,223,7163.09,9252.34,1396.62
22400,224,7163.09,9647.98,1402.99
22500,225,7163.09,10053.4,1409.13
22600,226,7163.09,9417.63,1415.47
22700,227,7163.09,8524.6,1421.32
22800,228,7163.09,9114.11,1427.66
22900,229,7163.09,9491.26,1433.87
23000,230,7163.09,8866.49,1440.19
23100,231,7163.09,9419.27,1446.59
23200,232,7163.09,9330.04,1453.13
23300,233,7163.09,8937.94,1459.29
23400,234,7163.09,9132.22,1465.53
23500,235,7163.09,9491.26,1471.66
23600,236,7163.09,8991.88,1478.15
23700,237,7163.09,9367.33,1484.74
23800,238,7163.09,9029.5,1491
23900,239,7163.09,8947.61,1497.23
24000,240,7163.09,9452.6,1503.38
24100,241,7163.09,9620.5,1509.01
24200,242,7163.09,9964.32,1515.47
24300,243,7163.09,9775.78,1521.72
24400,244,7163.09,9318.75,1528.16
24500,245,7163.09,9302.58,1534.57
24600,246,7163.09,9252.72,1540.92
24700,247,7163.09,8945.41,1547.18
24800,248,7163.09,9760.05,1553.56
24900,249,7163.09,9675.3,1560.02
25000,250,7163.09,8961.15,1566.38
25100,251,7163.09,9497.39,1571.97
25200,252,7163.09,9022.1,1578.67
25300,253,7163.09,9642.92,1584.79
25400,254,7163.09,9197.33,1591.03
25500,255,7163.09,9619.7,1597.18
25600,256,7163.09,8980.57,1603.76
25700,257,7163.09,10053.4,1609.5
25800,258,7163.09,9493.48,1615.84
25900,259,7163.09,9364.13,1621.7
26000,260,7163.09,9333.54,1628.32
26100,261,7163.09,9161.12,1634.64
26200,262,7163.09,8933.87,1640.58
26300,263,7163.09,9554.43,1646.91
26400,264,7163.09,8549.23,1653.41
26500,265,7163.09,9409.37,1659.61
26600,266,7163.09,9692.7,1665.59
26700,267,7163.09,9759.74,1671.71
26800,268,7163.09,9575.5,1678.24
26900,269,7163.09,9289.78,1684.63
27000,270,7163.09,8380.57,1690.92
27100,271,7163.09,9701.09,1697.07
27200,272,7163.09,11117.9,1703.23
27300,273,7163.09,9097.45,1709.28
27400,274,7163.09,9145.5,1715.84
27500,275,7163.09,9091.63,1722.6
27600,276,7163.09,8970.65,1729.5
27700,277,7163.09,9647.98,1735.55
27800,278,7163.09,9168.19,1741.89
27900,279,7163.09,9537.3,1748.63
28000,280,7163.09,9483.52,1754.83
28100,281,7163.09,9170.46,1761.32
28200,282,7163.09,9901.4,1767.43
28300,283,7163.09,9166.64,1773.91
28400,284,7163.09,9665.37,1780.07
28500,285,7163.09,9585.63,1786.59
28600,286,7163.09,9361.39,1792.82
28700,287,7163.09,9279.49,1798.82
28800,288,7163.09,9290.66,1805.61
28900,289,7163.09,9642.92,1811.8
29000,290,7163.09,8961.37,1817.98
29100,291,7163.09,9597.19,1824.32
29200,292,7163.09,9200.17,1830.54
29300,293,7163.09,8971.78,1836.86
29400,294,7163.09,9195.67,1842.72
29500,295,7163.09,8959.02,1849.28
29600,296,7163.09,8961.15,1855.61
29700,297,7163.09,9266.48,1861.8
29800,298,7163.09,8840.55,1867.65
29900,299,7163.09,10058.9,1873.86
30000,300,7163.09,9414.2,1880.12
30100,301,7163.09,9031.04,1886.34
30200,302,7163.09,9741.59,1892.45
30300,303,7163.09,9403.73,1898.83
30400,304,7163.09,9188.93,1905.23
30500,305,7163.09,9346.12,1911.78
30600,306,7163.09,9414.2,1918.17
30700,307,7163.09,8911.68,1924.22
30800,308,7163.09,9255.29,1930.42
30900,309,7163.09,9433.69,1936.94
31000,310,7163.09,9401.01,1943.32
31100,311,7163.09,9112.71,1949.9
31200,312,7163.09,9676.82,1956.16
31300,313,7163.09,9674.47,1962.26
31400,314,7163.09,9486.96,1968.18
31500,315,7163.09,9479.48,1974.56
31600,316,7163.09,9061.63,1981.18
31700,317,7163.09,9669.05,1987.29
31800,318,7163.09,9841.6,1993.57
31900,319,7163.09,9502.89,1999.81
32000,320,7163.09,9000.64,2006.23
32100,321,7163.09,9279.39,2012.77
32200,322,7163.09,9415.87,2019.34
32300,323,7163.09,9113.74,2025.49
32400,324,7163.09,9392.8,2031.8
32500,325,7163.09,9505.29,2038.18
32600,326,7163.09,9265.11,2044.56
32700,327,7163.09,8782.95,2050.55
32800,328,7163.09,9329.41,2056.75
32900,329,7163.09,9873.74,2062.78
33000,330,7163.09,10050.5,2069.53
33100,331,7163.09,9154.18,2075.75
33200,332,7163.09,9275.8,2081.9
33300,333,7163.09,9924.55,2088.01
33400,334,7163.09,9437.79,2094.39
33500,335,7163.09,9312.06,2100.87
33600,336,7163.09,9391.81,2107.19
33700,337,7163.09,9291.37,2113.53
33800,338,7163.09,8623.14,2119.57
33900,339,7163.09,9162.15,2125.83
34000,340,7163.09,9319.78,2132.06
34100,341,7163.09,8998.8,2138.45
34200,342,7163.09,9345.05,2145.05
34300,343,7163.09,9020.97,2151.34
34400,344,7163.09,9538.21,2157.48
34500,345,7163.09,9216.92,2163.63
34600,346,7163.09,9025.77,2170.15
34700,347,7163.09,9230.89,2176.26
34800,348,7163.09,9535.85,2182.93
34900,349,7163.09,9628.29,2188.91
35000,350,7163.09,9030.86,2195.24
35100,351,7163.09,9406.68,2201.22
35200,352,7163.09,9968.03,2207.32
35300,353,7163.09,9960.29,2213.5
35400,354,7163.09,9704.55,2219.55
35500,355,7163.09,10557.8,2225.65
35600,356,7163.09,9434.06,2231.9
35700,357,7163.09,9744.32,2238.31
35800,358,7163.09,9463.31,2244.69
35900,359,7163.09,9117.86,2250.87
36000,360,7163.09,9624.81,2257.11
36100,361,7163.09,9587.06,2263.2
36200,362,7163.09,9232.8,2269.62
36300,363,7163.09,9587.06,2275.77
36400,364,7163.09,9296.96,2282.24
36500,365,7163.09,9298.37,2288.42
36600,366,7163.09,9625.85,2294.83
36700,367,7163.09,9475.64,2301.04
36800,368,7163.09,9101.71,2307.56
36900,369,7163.09,10050.5,2314
37000,370,7163.09,9101.5,2320.84
37100,371,7163.09,9161.46,2327.99
37200,372,7163.09,9155.63,2335.13
37300,373,7163.09,9337.43,2341.54
37400,374,7163.09,9738.43,2347.34
37500,375,7163.09,9794.78,2353.42
37600,376,7163.09,9101.97,2359.33
37700,377,7163.09,8785.93,2365.26
37800,378,7163.09,9072.65,2371.89
37900,379,7163.09,9406.68,2378.58
38000,380,7163.09,8546.64,2384.91
38100,381,7163.09,9340.99,2390.7
38200,382,7163.09,9348.81,2396.77
38300,383,7163.09,8919.04,2403.14
38400,384,7163.09,8853.82,2408.99
38500,385,7163.09,9238.58,2414.83
38600,386,7163.09,9016.42,2421.18
38700,387,7163.09,9596.87,2427.56
38800,388,7163.09,9294.07,2433.6
38900,389,7163.09,10190.8,2439.4
39000,390,7163.09,9218.55,2445.83
39100,391,7163.09,9185.06,2452.01
39200,392,7163.09,9268.86,2458.17
39300,393,7163.09,9596.24,2464.17
39400,394,7163.09,9205.47,2470.75
39500,395,7163.09,9008.77,2477.01
39600,396,7163.09,9614.61,2482.92
39700,397,7163.09,9722.8,2489.69
39800,398,7163.09,9085.54,2495.96
39900,399,7163.09,9122.78,2502.33
40000,400,7163.09,9491.23,2509.05
40100,401,7163.09,9132.06,2515.08
40200,402,7163.09,9603.16,2521.48
40300,403,7163.09,9346.4,2527.31
40400,404,7163.09,9647.73,2533.45
40500,405,7163.09,9529.7,2539.73
40600,406,7163.09,10012.1,2546.15
40700,407,7163.09,9691.47,2552.23
40800,408,7163.09,9536.94,2558.19
40900,409,7163.09,9413.93,2564.49
41000,410,7163.09,9198.91,2570.71
41100,411,7163.09,9789.49,2577.19
41200,412,7163.09,9417.61,2583.41
41300,413,7163.09,9097.67,2589.34
41400,414,7163.09,9238.81,2595.67
41500,415,7163.09,9593.97,2601.51
