Evaluacion,Generacion,Mejor coste,Peor coste,Tiempo
50,0,1.91203e+06,1.35066e+08,235.322
100,1,1.91203e+06,1.34226e+08,469.564
150,2,1.91203e+06,1.34226e+08,712.772
200,3,1.91203e+06,1.25684e+08,945.999
250,4,1.91203e+06,1.1904e+08,1180.8
300,5,1.91203e+06,1.18661e+08,1412.71
350,6,1.91203e+06,1.12174e+08,1643.82
400,7,1.91203e+06,1.0091e+08,1873.33
450,8,1.91203e+06,1.00864e+08,2104.78
500,9,1.91203e+06,1.00216e+08,2334.95
550,10,1.91203e+06,9.3767e+07,2567.7
600,11,1.91203e+06,9.3767e+07,2798.43
650,12,1.91203e+06,9.32663e+07,3030.78
700,13,1.91203e+06,9.28042e+07,3261.7
750,14,1.91203e+06,9.12108e+07,3493.25
800,15,1.91203e+06,8.95584e+07,3727.97
850,16,1.91203e+06,8.73504e+07,3959.44
900,17,1.91203e+06,8.21497e+07,4190.76
950,18,1.91203e+06,7.74663e+07,4421.85
1000,19,1.91203e+06,7.74663e+07,4652.79
1050,20,1.91203e+06,7.74663e+07,4884.83
1100,21,1.91203e+06,7.74663e+07,5120.27
1150,22,1.91203e+06,7.74663e+07,5350.15
1200,23,1.91203e+06,7.37717e+07,5580.65
1250,24,1.91203e+06,7.37717e+07,5812.31
1300,25,1.91203e+06,7.37717e+07,6043.69
1350,26,1.91203e+06,7.268e+07,6274.38
1400,27,1.91203e+06,7.268e+07,6505.78
1450,28,1.91203e+06,7.268e+07,6736.32
1500,29,1.91203e+06,7.268e+07,6967.49
1550,30,1.91203e+06,7.268e+07,7197.96
1600,31,1.91203e+06,7.268e+07,7426.59
1650,32,1.91203e+06,7.268e+07,7655.7
1700,33,1.91203e+06,7.268e+07,7885.77
1750,34,1.91203e+06,5.3896e+07,8118.6
1800,35,1.91203e+06,5.3896e+07,8348.86
1850,36,1.91203e+06,5.37797e+07,8578.4
1900,37,1.91203e+06,5.37797e+07,8809.11
1950,38,1.91203e+06,5.37797e+07,9042.45
2000,39,1.91203e+06,5.37797e+07,9273.43
2050,40,1.91203e+06,5.37797e+07,9504.4
2100,41,1.91203e+06,5.37797e+07,9733.65
2150,42,1.91203e+06,5.37797e+07,9964.06
2200,43,1.91203e+06,5.37797e+07,10194.9
2250,44,1.91203e+06,5.37797e+07,10428.9
2300,45,1.91203e+06,5.37797e+07,10662.5
2350,46,1.91203e+06,4.952e+07,10892.5
2400,47,1.91203e+06,4.79157e+07,11125.1
2450,48,1.91203e+06,4.79157e+07,11356.3
2500,49,1.91203e+06,4.79157e+07,11587.2
2550,50,1.91203e+06,4.79157e+07,11817.7
2600,51,1.91203e+06,4.79157e+07,12048.8
2650,52,1.91203e+06,4.79157e+07,12280.3
2700,53,1.91203e+06,4.72373e+07,12510.7
2750,54,1.91203e+06,4.42001e+07,12743.7
2800,55,1.91203e+06,4.42001e+07,12974.9
2850,56,1.91203e+06,4.42001e+07,13206.7
2900,57,1.91203e+06,4.42001e+07,13440.5
2950,58,1.91203e+06,4.42001e+07,13669.8
3000,59,1.91203e+06,4.42001e+07,13899.4
3050,60,1.91203e+06,4.42001e+07,14131
3100,61,1.91203e+06,4.26771e+07,14360.9
3150,62,1.91203e+06,4.26771e+07,14590.8
3200,63,1.91203e+06,4.26771e+07,14822.3
3250,64,1.91203e+06,4.26771e+07,15053.3
3300,65,1.91203e+06,4.26771e+07,15290
3350,66,1.91203e+06,4.26771e+07,15519.6
3400,67,1.91203e+06,4.26771e+07,15760.5
3450,68,1.91203e+06,4.26771e+07,15988.5
3500,69,1.91203e+06,4.26771e+07,16221
3550,70,1.91203e+06,3.95346e+07,16454.6
3600,71,1.91203e+06,3.95346e+07,16685.5
3650,72,1.91203e+06,3.95346e+07,16915.6
3700,73,1.91203e+06,3.95346e+07,17147.9
3750,74,1.91203e+06,3.95346e+07,17378.1
3800,75,1.91203e+06,3.95346e+07,17606.9
3850,76,1.91203e+06,3.95346e+07,17836.7
3900,77,1.91203e+06,3.95346e+07,18065.4
3950,78,1.91203e+06,3.95346e+07,18297.7
4000,79,1.91203e+06,3.95346e+07,18529
4050,80,1.91203e+06,3.95346e+07,18760.1
4100,81,1.91203e+06,3.95346e+07,18991.8
4150,82,1.91203e+06,3.95346e+07,19223.8
4200,83,1.91203e+06,3.95346e+07,19454.2
4250,84,1.91203e+06,3.95346e+07,19683.5
4300,85,1.91203e+06,3.95346e+07,19912.5
4350,86,1.91203e+06,3.95346e+07,20143.3
4400,87,1.91203e+06,3.95346e+07,20383.6
4450,88,1.91203e+06,3.19315e+07,20619.7
4500,89,1.91203e+06,3.19315e+07,20854.9
4550,90,1.91203e+06,3.19315e+07,21086.7
4600,91,1.91203e+06,3.19315e+07,21319
4650,92,1.91203e+06,3.19315e+07,21548.8
4700,93,1.91203e+06,3.19315e+07,21778.9
4750,94,1.91203e+06,3.19315e+07,22009.2
4800,95,1.91203e+06,3.19315e+07,22238.8
4850,96,1.91203e+06,3.19315e+07,22473.6
4900,97,1.91203e+06,3.19315e+07,22705.6
4950,98,1.91203e+06,3.19315e+07,22936.6
5000,99,1.91203e+06,3.19315e+07,23169.6
5050,100,1.91203e+06,3.19315e+07,23401
5100,101,1.91203e+06,3.19315e+07,23631.3
5150,102,1.91203e+06,3.19315e+07,23860.3
5200,103,1.91203e+06,3.19315e+07,24088.2
5250,104,1.91203e+06,3.19315e+07,24319.9
5300,105,1.91203e+06,3.19315e+07,24551.3
5350,106,1.91203e+06,3.19315e+07,24781.5
5400,107,1.91203e+06,3.19315e+07,25012.4
5450,108,1.91203e+06,3.19315e+07,25242.7
5500,109,1.91203e+06,3.19315e+07,25475.3
5550,110,1.91203e+06,3.19315e+07,25704.7
5600,111,1.91203e+06,3.19315e+07,25939.4
5650,112,1.91203e+06,3.19315e+07,26168.1
5700,113,1.91203e+06,3.19315e+07,26398.8
5750,114,1.91203e+06,3.19315e+07,26629.3
5800,115,1.91203e+06,3.15322e+07,26860.5
5850,116,1.91203e+06,2.90175e+07,27092.2
5900,117,1.91203e+06,2.90175e+07,27329
5950,118,1.91203e+06,2.90175e+07,27561.1
6000,119,1.91203e+06,2.90175e+07,27793.2
6050,120,1.91203e+06,2.90175e+07,28024.6
6100,121,1.91203e+06,2.90175e+07,28255.1
6150,122,1.91203e+06,2.90175e+07,28484.1
6200,123,1.91203e+06,2.90175e+07,28711.6
6250,124,1.91203e+06,2.60056e+07,28944.2
6300,125,1.91203e+06,2.60056e+07,29174.8
6350,126,1.91203e+06,2.60056e+07,29406.2
6400,127,1.91203e+06,2.60056e+07,29635.1
6450,128,1.91203e+06,2.60056e+07,29866.6
6500,129,1.91203e+06,2.60056e+07,30098.3
6550,130,1.91203e+06,2.60056e+07,30328.7
6600,131,1.91203e+06,2.60056e+07,30561.1
6650,132,1.91203e+06,2.60056e+07,30792.3
6700,133,1.91203e+06,2.60056e+07,31022.7
6750,134,1.91203e+06,2.60056e+07,31257.8
6800,135,1.91203e+06,2.356e+07,31494.3
6850,136,1.91203e+06,2.356e+07,31723.2
6900,137,1.91203e+06,2.356e+07,31951.2
6950,138,1.91203e+06,2.356e+07,32182.7
7000,139,1.91203e+06,2.356e+07,32414.3
7050,140,1.91203e+06,2.356e+07,32643.6
7100,141,1.91203e+06,2.356e+07,32872.4
7150,142,1.91203e+06,2.356e+07,33104
