Evaluacion,Generacion,Mejor coste,Peor coste,Tiempo
0,0,60963.3,871130,0.098
100,1,61359.4,819805,6.979
200,2,61359.4,758445,13.951
300,3,61359.4,408733,21.144
400,4,61359.4,114468,28.12
500,5,61359.4,149888,34.847
600,6,61359.4,101106,41.75
700,7,61359.4,98999.4,48.103
800,8,61359.4,105543,54.852
900,9,61359.4,105190,61.608
1000,10,61359.4,108051,69.086
1100,11,61359.4,101231,75.969
1200,12,61359.4,104612,82.902
1300,13,61359.4,97898.6,89.809
1400,14,61359.4,90695.6,96.455
1500,15,61359.4,89073.6,103.531
1600,16,61359.4,108909,110.625
1700,17,61359.4,106583,117.216
1800,18,61359.4,101271,124.316
1900,19,61359.4,98334.3,131.153
2000,20,61359.4,101057,137.988
2100,21,61359.4,101325,145.76
2200,22,61359.4,99578,152.646
2300,23,61359.4,99483,159.214
2400,24,61359.4,97284.4,165.892
2500,25,61359.4,92793.5,173.066
2600,26,61359.4,102575,180.049
2700,27,61359.4,106476,186.454
2800,28,61359.4,95945.5,193.044
2900,29,61359.4,108443,199.617
3000,30,61359.4,110125,206.141
3100,31,61359.4,97542.2,213.491
3200,32,61359.4,105182,220.367
3300,33,61359.4,97621,227.224
3400,34,61359.4,98338.9,233.905
3500,35,61359.4,108174,240.724
3600,36,61359.4,99093,247.305
3700,37,61359.4,100651,254.35
3800,38,61359.4,101739,261.793
3900,39,61359.4,99435,268.513
4000,40,61359.4,108738,276.013
4100,41,61359.4,104781,282.896
4200,42,61359.4,105938,289.967
4300,43,61359.4,104535,296.846
4400,44,61359.4,98182.5,304.101
4500,45,61359.4,104242,311.482
4600,46,61359.4,65142.9,318.231
4700,47,61359.4,88285.9,325.042
4800,48,61359.4,87770.3,332.145
4900,49,61359.4,105467,338.72
5000,50,61359.4,102618,345.888
5100,51,61359.4,94043.9,353.202
5200,52,61359.4,91765.2,360.019
5300,53,61359.4,97937.2,366.752
5400,54,61359.4,103727,373.628
5500,55,61359.4,103869,380.341
5600,56,61359.4,99501.5,387.426
5700,57,61359.4,83162.8,394.592
5800,58,61359.4,103869,401.145
5900,59,61359.4,102074,408.472
6000,60,61359.4,104936,415.26
6100,61,61359.4,92817.1,422.12
6200,62,61359.4,110853,429.061
6300,63,61359.4,108443,436.249
6400,64,61359.4,110877,443.615
6500,65,61359.4,101109,450.555
6600,66,61359.4,98346.3,457.433
6700,67,61359.4,101809,464.033
6800,68,61359.4,101121,470.823
6900,69,61359.4,103727,478.033
7000,70,61359.4,101749,485.456
7100,71,61359.4,100624,492.433
7200,72,61359.4,99802.9,499.457
7300,73,61359.4,101576,506.409
7400,74,61359.4,97258.8,513.412
7500,75,61359.4,94241.6,520.261
7600,76,61359.4,100576,527.016
7700,77,61359.4,92412.7,533.859
7800,78,61322.6,99652.6,541.038
7900,79,61322.6,105139,547.736
8000,80,61322.6,101375,554.587
8100,81,61322.6,100067,561.328
8200,82,61322.6,101325,568.665
8300,83,61322.6,92022.8,575.255
8400,84,61322.6,111035,582.349
8500,85,61322.6,101354,588.837
8600,86,61322.6,105180,595.571
8700,87,61322.6,93288.4,602.675
8800,88,61322.6,105069,609.571
8900,89,61322.6,99752.2,616.405
9000,90,61322.6,105233,623.169
9100,91,61322.6,87235.3,629.621
9200,92,61322.6,105309,637.001
9300,93,61322.6,93295.1,644.331
9400,94,61322.6,95553.1,651.079
9500,95,61322.6,99434.5,657.443
9600,96,61322.6,97169.2,664.514
9700,97,61322.6,105558,671.097
9800,98,61322.6,108458,677.435
9900,99,61322.6,105546,684.18
10000,100,61322.6,109087,691.122
10100,101,61322.6,108311,697.776
10200,102,61322.6,88485.2,704.385
10300,103,61322.6,100961,711.421
10400,104,61322.6,101472,718.17
10500,105,61322.6,88948.4,725.262
10600,106,61322.6,108892,732.524
10700,107,61322.6,99678.5,739.858
10800,108,61322.6,102813,746.905
10900,109,61322.6,92764.5,753.505
11000,110,61322.6,99315.4,760.631
11100,111,61322.6,91891.7,767.094
11200,112,61322.6,99116.8,774.978
11300,113,61322.6,98613.3,781.776
11400,114,61322.6,88902.4,788.701
11500,115,61322.6,101272,795.923
11600,116,61322.6,109480,802.963
11700,117,61322.6,103480,811.193
11800,118,61322.6,97993.4,817.869
11900,119,61322.6,109903,824.693
12000,120,61322.6,87201.8,831.941
12100,121,61322.6,101011,838.595
12200,122,61322.6,97553.3,845.651
12300,123,61322.6,105994,852.64
12400,124,61322.6,99901.9,859.353
12500,125,61322.6,101472,866.278
12600,126,61322.6,92775,873.021
12700,127,61322.6,97796.1,879.834
12800,128,61322.6,99527.1,886.65
12900,129,61322.6,82131.9,893.707
13000,130,61322.6,102029,900.399
13100,131,61322.6,89010.3,907.462
13200,132,61322.6,103623,914.327
13300,133,61322.6,87144.2,921.397
13400,134,61322.6,94435.5,928.209
13500,135,61322.6,106872,934.779
13600,136,61322.6,102935,941.448
13700,137,61322.6,109204,948.294
13800,138,61322.6,96397,955.315
13900,139,61322.6,105892,962.248
14000,140,61322.6,89314.9,968.862
