Evaluacion,Generacion,Mejor coste,Peor coste,Tiempo
0,0,1.94009e+06,1.35194e+08,1.212
50,1,1.94009e+06,1.34429e+08,147.243
100,2,1.94009e+06,1.19396e+08,300.179
150,3,1.94009e+06,1.04588e+08,460.68
200,4,1.94009e+06,9.27429e+07,624.358
250,5,1.94009e+06,9.55544e+07,783.691
300,6,1.94258e+06,8.15078e+07,937.99
350,7,1.94258e+06,6.19819e+07,1101.74
400,8,1.94258e+06,2.19908e+06,1245.47
450,9,1.94258e+06,2.01058e+06,1404.59
500,10,1.94258e+06,2.00173e+06,1543.27
550,11,1.94258e+06,2.00636e+06,1700.62
600,12,1.94258e+06,2.01085e+06,1852.34
650,13,1.94258e+06,2.71987e+06,2033.39
700,14,1.94258e+06,1.99936e+06,2189.09
750,15,1.94258e+06,2.0076e+06,2332.52
800,16,1.94258e+06,2.0062e+06,2506.03
850,17,1.94258e+06,2.0033e+06,2656.12
900,18,1.94258e+06,1.98925e+06,2809.23
950,19,1.94258e+06,1.98561e+06,2969.73
1000,20,1.94258e+06,2.01085e+06,3113
1050,21,1.94258e+06,1.98395e+06,3270.9
1100,22,1.94258e+06,1.99106e+06,3436.09
1150,23,1.94258e+06,2.00692e+06,3596.16
1200,24,1.94258e+06,2.00279e+06,3761.37
1250,25,1.94258e+06,1.97459e+06,3937.2
1300,26,1.94258e+06,2.00712e+06,4098.65
1350,27,1.94258e+06,2.00686e+06,4251.23
1400,28,1.94258e+06,1.99605e+06,4426.03
1450,29,1.94258e+06,2.00328e+06,4577.03
1500,30,1.94258e+06,2.00583e+06,4733.04
1550,31,1.94258e+06,2.01494e+06,4887.41
1600,32,1.94258e+06,2.01043e+06,5029.56
1650,33,1.94258e+06,2.00484e+06,5181.87
1700,34,1.94258e+06,1.9861e+06,5344.09
1750,35,1.94258e+06,1.9899e+06,5519.14
1800,36,1.94258e+06,1.99979e+06,5670.29
1850,37,1.94258e+06,1.98747e+06,5813.59
1900,38,1.94258e+06,1.99063e+06,5956.25
1950,39,1.94258e+06,2.01101e+06,6113.82
2000,40,1.94258e+06,1.9967e+06,6262.14
2050,41,1.94258e+06,1.99035e+06,6421.75
2100,42,1.94258e+06,1.97541e+06,6556.34
2150,43,1.94258e+06,2.03442e+06,6721.7
2200,44,1.94258e+06,2.00683e+06,6878.72
2250,45,1.94258e+06,1.99777e+06,7036.11
2300,46,1.94258e+06,2.39696e+06,7177.07
2350,47,1.94258e+06,2.01138e+06,7355.14
2400,48,1.94258e+06,2.015e+06,7535.15
2450,49,1.94258e+06,1.98536e+06,7686.89
2500,50,1.94258e+06,1.99776e+06,7847.82
2550,51,1.94258e+06,1.99566e+06,8004.37
2600,52,1.94258e+06,2.00495e+06,8156.19
2650,53,1.94258e+06,1.99506e+06,8331.06
2700,54,1.94258e+06,1.99376e+06,8490.98
2750,55,1.94258e+06,1.99384e+06,8625.2
2800,56,1.94258e+06,2.23937e+06,8785.61
2850,57,1.94258e+06,2.01295e+06,8944.24
2900,58,1.94258e+06,1.99033e+06,9100.77
2950,59,1.94258e+06,1.99939e+06,9273.07
3000,60,1.94258e+06,2.00558e+06,9420.22
3050,61,1.94258e+06,2.00744e+06,9597.85
3100,62,1.94258e+06,2.008e+06,9754.77
3150,63,1.94258e+06,2.00635e+06,9907.59
3200,64,1.94258e+06,2.67605e+06,10084.9
