Evaluacion,Generacion,Mejor coste,Peor coste,Tiempo
0,0,1.93135e+06,1.35392e+08,2.811
100,1,1.93135e+06,1.34698e+08,324.956
200,2,1.93135e+06,1.34328e+08,663.999
300,3,1.94107e+06,1.18819e+08,984.689
400,4,1.94107e+06,1.19881e+08,1305.48
500,5,1.94107e+06,1.15865e+08,1635.8
600,6,1.94114e+06,1.09852e+08,1962.13
700,7,1.94114e+06,1.004e+08,2311.32
800,8,3.10088e+07,9.60913e+07,2611.31
900,9,3.10088e+07,1.0341e+08,2927.45
1000,10,3.10473e+07,9.93663e+07,3243.16
1100,11,4.25775e+07,1.00096e+08,3566.37
1200,12,4.25775e+07,9.44571e+07,3869.53
1300,13,4.29848e+07,8.46655e+07,4198.69
1400,14,4.3013e+07,8.50824e+07,4505.71
1500,15,4.3013e+07,8.50035e+07,4798.47
1600,16,4.3013e+07,8.44057e+07,5125.82
1700,17,4.3013e+07,5.17746e+07,5455.73
1800,18,4.3013e+07,5.00527e+07,5765.24
1900,19,4.3013e+07,4.74401e+07,6095.84
2000,20,4.3013e+07,4.79638e+07,6411.63
2100,21,4.3013e+07,4.83978e+07,6714.26
2200,22,4.3013e+07,4.62374e+07,7021.31
2300,23,4.3013e+07,4.59666e+07,7319.1
2400,24,4.3013e+07,4.60331e+07,7647.52
2500,25,4.3013e+07,4.67253e+07,7944.03
2600,26,4.3013e+07,4.6796e+07,8228.79
2700,27,4.3013e+07,4.60816e+07,8561.27
2800,28,4.3013e+07,4.88458e+07,8867.25
2900,29,4.3013e+07,4.72295e+07,9155.35
3000,30,4.3013e+07,4.67824e+07,9447.92
3100,31,4.29083e+07,4.7598e+07,9740.82
3200,32,4.29083e+07,4.64939e+07,10070
3300,33,4.29083e+07,4.64329e+07,10358
3400,34,4.27986e+07,4.62658e+07,10658.6
3500,35,4.27605e+07,4.64723e+07,10934.1
3600,36,4.25493e+07,4.36615e+07,11246.2
3700,37,4.25493e+07,4.31675e+07,11542.3
3800,38,4.25493e+07,4.31849e+07,11839.1
3900,39,4.2387e+07,4.31691e+07,12153.6
4000,40,4.23113e+07,4.32107e+07,12464.4
4100,41,4.23113e+07,4.32759e+07,12744.9
4200,42,4.23113e+07,4.32005e+07,13060.5
4300,43,4.22957e+07,4.31238e+07,13396.8
4400,44,4.23373e+07,4.32483e+07,13719.2
4500,45,4.23373e+07,4.3224e+07,14034.8
4600,46,4.23373e+07,4.31714e+07,14341.2
4700,47,4.23245e+07,4.31643e+07,14658.5
4800,48,4.21889e+07,4.31048e+07,14942.5
